time_stamp	px_state	py_state	v_state	sensor_type	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010448850000	19.6769	15.6753	4.17702	radar	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.98241	0.547873	0.0932661	0.0977818	0.752017	0.582847
1477010448900000	19.5519	15.9276	4.36687	lidar	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.0098	0.548437	0.0935357	0.0979049	0.749705	0.581062
1477010448950000	19.4541	16.1189	4.3502	radar	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.03722	0.548915	0.0938799	0.0982835	0.747738	0.579222
1477010449000000	19.3403	16.3204	4.38743	lidar	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.06467	0.549305	0.0941847	0.0987901	0.746088	0.577141
1477010449050000	19.2342	16.4925	4.28495	radar	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.09213	0.549609	0.0946037	0.0998018	0.744098	0.575629
1477010449100000	19.0825	16.7456	4.49696	lidar	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.11961	0.549826	0.0947092	0.100177	0.741976	0.573382
1477010449150000	18.9411	16.9146	4.39451	radar	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.1471	0.549957	0.0946989	0.100968	0.739059	0.57223
1477010449200000	18.7273	17.2041	4.76502	lidar	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.1746	0.55	0.0943266	0.100834	0.736098	0.569957
1477010449250000	18.607	17.4091	4.78824	radar	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.2021	0.549957	0.0939943	0.100644	0.733473	0.567844
1477010449300000	18.3807	17.6389	4.99737	lidar	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.2296	0.549826	0.0937295	0.100295	0.73065	0.566348
1477010449350000	18.2306	17.8257	4.95772	radar	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.25709	0.549609	0.0934706	0.0999534	0.727925	0.564836
1477010449400000	18.1187	18.0178	4.88629	lidar	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.28457	0.549305	0.0931102	0.0995946	0.725703	0.563588
1477010449450000	17.9495	18.1546	4.74912	radar	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.31204	0.548915	0.0927643	0.0994007	0.723023	0.561442
1477010449500000	17.8395	18.2895	4.58115	lidar	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.33948	0.548437	0.0924656	0.0994852	0.720972	0.559303
1477010449550000	17.713	18.4525	4.50516	radar	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	2.3669	0.547873	0.092375	0.0996311	0.719206	0.557181
1477010449600000	17.5009	18.6647	4.70235	lidar	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.3943	0.547223	0.0920974	0.0994445	0.717173	0.555389
1477010449650000	17.3278	18.7884	4.61553	radar	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.42166	0.546486	0.0918418	0.0995089	0.714874	0.553314
1477010449700000	17.1726	18.9293	4.55878	lidar	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	2.44898	0.545663	0.0917244	0.0997014	0.713024	0.551294
1477010449750000	17.0033	19.0909	4.57113	radar	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	2.47627	0.544754	0.0917266	0.0997981	0.711151	0.549314
1477010449800000	16.7784	19.224	4.64279	lidar	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.5035	0.543759	0.0915267	0.100003	0.709168	0.547491
1477010449850000	16.5839	19.3716	4.6756	radar	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	2.53069	0.542677	0.0913316	0.100143	0.706898	0.545574
1477010449900000	16.3367	19.561	4.88144	lidar	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	2.55783	0.54151	0.0910068	0.0999284	0.70447	0.544338
1477010449950000	16.1181	19.6309	4.81816	radar	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	2.5849	0.540258	0.0906825	0.100118	0.701957	0.542424
1477010450000000	15.9056	19.7884	4.88192	lidar	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	2.61191	0.53892	0.090366	0.100053	0.699491	0.540883
1477010450050000	15.7096	19.9051	4.83637	radar	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.63886	0.537498	0.0900473	0.100003	0.697169	0.539641
1477010450100000	15.4669	20.0824	4.99354	lidar	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	2.66574	0.53599	0.0897641	0.0996819	0.694796	0.539661
1477010450150000	15.2356	20.2271	5.06634	radar	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	2.69253	0.534397	0.0895281	0.0993377	0.692381	0.53966
1477010450200000	15.068	20.3574	4.9575	lidar	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	2.71925	0.532721	0.0892205	0.0990425	0.690166	0.540383
1477010450250000	14.8319	20.434	4.95896	radar	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.74589	0.53096	0.088917	0.0987137	0.687816	0.539746
